id|activity|target_condition
0|Disegno con matite colorate o pastelli|0
1|Colorare immagini stampate con varie sfumature di colori|0
2|Usare timbri per creare pattern e disegni|0
3|Completare puzzle con pezzi di dimensioni adatte|0
4|Classificare e ordinare forme geometriche e colori|0
5|Costruire strutture con blocchi di legno o plastica|0
6|Giocare con bambole o pupazzi, creando scenari e dialoghi|1
7|Fare finta di cucinare con giocattoli da cucina e cibo finto|1
8|Simulare situazioni quotidiane come fare la spesa o andare al dottore|1
9|Giocare con palloni da calcio o da basket|1
10|Guidare macchinine su piste o creare percorsi con ostacoli|1
11|Saltare su trampolini o fare giri in bicicletta|1
12|Creare opere d'arte con carta, colla e materiali riciclati|1
13|Realizzare sculture con pasta modellabile o plastilina|1
14|Dipingere con le dita o con spugne per esplorare diverse texture e tecniche|1
15|Associare immagini con parole corrispondenti|2
16|Ordinare oggetti in base a dimensione, colore o forma|2
17|Risolvere semplici problemi matematici utilizzando manipolativi|2
18|Esplorare diverse consistenze con giochi di sabbia, farina o gelatina|2
19|Scoprire nuovi odori e sapori attraverso attività di cucina o esperimenti sensoriali|2
20|Ascoltare e identificare suoni con strumenti musicali o registrazioni|2
21|Esplorare la natura e raccogliere oggetti come foglie, sassi o fiori|3
22|Giocare con acqua e sabbia in un tavolo sensoriale|3
23|Svolgere attività di coordinazione e equilibrio su scivoli o altalene|3
24|Costruire una torre con blocchi di legno|0
25|Giocare a nascondino con oggetti|0
26|Decorare una pagina con adesivi colorati|0
27|Incastrare forme nei rispettivi spazi di un puzzle|0
28|Creare un collage con carta e colla|0
29|Imparare i colori con carte didattiche|0
30|Giocare a fare la spesa con un carrello e oggetti finti|1
31|Organizzare una festa con pupazzi|1
32|Raccontare una storia usando figure e oggetti|1
33|Calciare una palla verso un obiettivo|1
34|Corsa a ostacoli|1
35|Giocare a tira e molla con una corda|1
36|Creare braccialetti con perline|1
37|Pittura su tela con pennelli|1
38|Costruzione di modelli semplici con argilla|1
39|Leggere una storia semplice con immagini|2
40|Costruire figure geometriche con bastoncini|2
41|Risoluzione di semplici puzzle numerici|2
42|Esplorazione di texture diverse con oggetti sensoriali|2
43|Esperimenti di miscelazione con colori alimentari e acqua|2
44|Ascolto e identificazione di versi di animali|2
45|Passeggiata nella natura con osservazione di piante e animali|3
46|Costruzione di castelli di sabbia|3
47|Percorso di equilibrio su travi e blocchi|3
48|Decorare biscotti con glasse colorate|0
49|Gioco del memory con carte illustrate|0
50|Incollare pezzi di carta su una sagoma|0
51|Montare e smontare giocattoli modulari|0
52|Realizzare figure con il pongo|0
53|Giocare a bingo con immagini|0
54|Giocare a 'indovina l'oggetto' con scatole sensoriali|1
55|Interpretare ruoli con maschere e costumi|1
56|Costruire case di cartone per pupazzi|1
57|Lanciare palline in un canestro|1
58|Gioco del bowling con bottiglie e palline|1
59|Saltare la corda|1
60|Realizzare un album fotografico con immagini ritagliate|1
61|Creazione di mosaici con tessere colorate|1
62|Stampare figure con stencil e colori|1
63|Scrivere e illustrare una breve storia|2
64|Costruzione di strutture con cannucce e connettori|2
65|Risoluzione di giochi di logica con immagini|2
66|Manipolare schiuma da barba o gelatina|2
67|Esperimenti con bicarbonato e aceto|2
68|Creazione di strumenti musicali con materiali riciclati|2
69|Osservazione di insetti con una lente di ingrandimento|3
70|Giocare con bolle di sapone all'aperto|3
71|Giochi di equilibrio con sacchi di fagioli|3
